Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Andrew Mangiapane,LW,14,14,24,0,1,3,4,0,95,5,7,30,74,mangian01
Dmitry Orlov,D,6,22,24,0,0,2,1,0,117,0,0,60,101,orlovdm01
Ondřej Palát,LW,15,13,12,2,1,3,2,0,96,4,16,58,124,palaton01
Jordan Spence,D,4,24,16,0,0,0,5,0,86,0,0,77,80,spencjo01
Kevin Stenlund,C,14,14,40,0,1,1,0,0,102,624,430,64,50,stenlke01
Gustav Nyquist,RW,11,17,16,2,1,0,1,1,103,11,19,30,44,nyquigu01
Gustav Nyquist,RW,9,12,12,1,1,0,0,0,71,11,13,22,29,nyquigu01
Gustav Nyquist,RW,2,5,4,1,0,0,1,1,32,0,6,8,15,nyquigu01
Michael Amadio,C,11,16,18,1,0,2,0,0,85,49,47,44,108,amadimi01
Josh Anderson,RW,15,12,90,0,1,1,0,0,109,29,20,39,176,anderjo05
Viktor Arvidsson,LW,15,12,24,1,0,2,2,0,158,17,35,23,32,arvidvi01
Nic Dowd,C,14,13,56,0,2,3,0,0,86,596,599,82,128,dowdni01
Adam Henrique,C,12,15,16,2,1,3,4,0,104,562,448,85,58,henriad01
Jack McBain,C,13,14,78,1,0,1,2,0,90,229,231,50,291,mcbaija03
K'Andre Miller,D,7,20,22,0,0,1,2,0,110,0,0,110,107,milleka01
Tanner Pearson,LW,12,15,8,0,1,2,0,0,109,6,18,45,96,pearsta01
Taylor Raddysh,RW,7,20,18,0,0,1,1,0,93,9,20,28,59,raddyta01
Jaccob Slavin,D,6,21,8,0,0,2,0,3,110,0,0,136,21,slavija01
Connor Zary,C,13,14,14,1,0,2,8,0,111,90,151,26,26,zaryco01
Teddy Blueger,C,8,18,39,0,0,0,0,0,94,510,505,43,104,bluegte01
Jordan Eberle,RW,9,17,14,1,0,1,4,0,66,7,11,25,13,eberljo01
Dante Fabbro,D,9,17,40,0,0,3,0,0,89,0,0,143,67,fabbrda01
Dante Fabbro,D,0,0,0,0,0,0,0,0,7,0,0,7,1,fabbrda01
Dante Fabbro,D,9,17,40,0,0,3,0,0,82,0,0,136,66,fabbrda01
Adam Gaudette,C,19,7,12,3,0,4,0,0,90,176,174,28,68,gaudead01
Ryan Hartman,RW,11,15,75,3,0,1,4,0,158,282,308,41,73,hartmry01
Esa Lindell,D,5,21,14,1,0,0,0,0,99,0,0,170,50,lindees01
Frank Nazar,C,12,14,24,1,1,2,3,1,91,170,211,35,30,nazarfr01
Alex Newhook,C,15,11,24,1,0,3,3,0,118,239,319,32,89,newhoal01
Filip Chytil,C,13,13,18,1,0,1,4,0,133,264,300,13,19,chytifi01
Filip Chytil,C,11,9,14,1,0,1,2,0,89,184,219,9,12,chytifi01
Filip Chytil,C,2,4,4,0,0,0,2,0,44,80,81,4,7,chytifi01
